player,comp,round,date,venue,opp,pos,min,type,assisted
ronaldo,LaLiga,8,10/5/2013,A,Levante  ,LW,90'+4,Right-footed shot,Luka Modric
ronaldo,LaLiga,9,10/19/2013,H,Málaga CF  ,LW,90'+1,Penalty,
ronaldo,Champions League,Group Stage,10/23/2013,H,Juventus,LW,4',Right-footed shot,Ángel Di María
ronaldo,,,,,,,29',Penalty,
ronaldo,LaLiga,11,10/30/2013,H,Sevilla FC  ,LW,31',Penalty,
ronaldo,,,,,,,60',Right-footed shot,Gareth Bale
ronaldo,,,,,,,71',Right-footed shot,Karim Benzema
ronaldo,LaLiga,12,11/2/2013,A,Rayo Vallecano  ,LW,3',Right-footed shot,Luka Modric
ronaldo,,,,,,,48',Right-footed shot,Gareth Bale
ronaldo,Champions League,Group Stage,11/5/2013,A,Juventus,LW,52',Right-footed shot,Karim Benzema
ronaldo,LaLiga,13,11/9/2013,H,Real Sociedad  ,LW,12',Right-footed shot,Karim Benzema
ronaldo,,,,,,,27',Penalty,
ronaldo,,,,,,,76',Direct free kick,
ronaldo,LaLiga,14,11/23/2013,A,UD Almería  ,LW,3',Left-footed shot,Isco
ronaldo,Champions League,Group Stage,12/10/2013,A,FC Copenhagen,LW,48',Right-footed shot,Pepe
ronaldo,LaLiga,17,12/22/2013,A,Valencia  ,LW,40',Header,Ángel Di María
ronaldo,LaLiga,18,1/6/2014,H,Celta de Vigo  ,LW,82',Right-footed shot,Daniel Carvajal
ronaldo,,,,,,,90',Right-footed shot,Gareth Bale
ronaldo,Copa del Rey,last 16,1/15/2014,A,CA Osasuna,LW,22',Direct free kick,
ronaldo,LaLiga,20,1/18/2014,A,Real Betis  ,LW,10',Right-footed shot,Ángel Di María
ronaldo,LaLiga,21,1/25/2014,H,Granada CF  ,LW,57',Right-footed shot,Luka Modric
ronaldo,Copa del Rey,Semi-Finals,2/11/2014,A,Atlético Madrid,LW,6',Penalty,
ronaldo,,,,,,,15',Penalty,
ronaldo,Champions League,last 16,2/26/2014,A,FC Schalke 04,LW,52',Left-footed shot,Gareth Bale
ronaldo,,,,,,,89',Right-footed shot,Karim Benzema
ronaldo,LaLiga,26,3/2/2014,A,Atlético Madrid  ,LW,82',Right-footed shot,Gareth Bale
ronaldo,LaLiga,27,3/9/2014,H,Levante  ,LW,11',Header,Ángel Di María
ronaldo,LaLiga,28,3/15/2014,A,Málaga CF  ,LW,23',Right-footed shot,Gareth Bale
ronaldo,Champions League,last 16,3/18/2014,H,FC Schalke 04,LW,22',Right-footed shot,Gareth Bale
ronaldo,,,,,,,74',Right-footed shot,
ronaldo,LaLiga,29,3/23/2014,H,FC Barcelona  ,LW,55',Penalty,
ronaldo,LaLiga,30,3/26/2014,A,Sevilla FC  ,LW,14',Direct free kick,
ronaldo,LaLiga,31,3/29/2014,H,Rayo Vallecano  ,LW,15',Right-footed shot,Gareth Bale
ronaldo,Champions League,Quarter-Finals,4/2/2014,H,Bor. Dortmund,LW,57',Left-footed shot,Luka Modric
ronaldo,LaLiga,35,4/26/2014,H,CA Osasuna  ,LW,6',Long distance kick,Ángel Di María
ronaldo,,,,,,,52',Long distance kick,Isco
ronaldo,Champions League,Semi-Finals,4/29/2014,A,Bayern Munich ,LW,34',Counter attack goal,Gareth Bale
ronaldo,,,,,,,90',Direct free kick,
ronaldo,LaLiga,36,5/4/2014,H,Valencia  ,LW,90',Right-footed shot,Ángel Di María
ronaldo,Champions League,Final,5/24/2014,H,Atlético Madrid,LW,120',Penalty,
ronaldo,UEFA Super Cup,Final,8/12/2014,H,Sevilla FC,LW,30',Right-footed shot,Gareth Bale
ronaldo,,,,,,,49',Left-footed shot,Karim Benzema
ronaldo,LaLiga,1,8/25/2014,H,Córdoba CF  ,LW,90',Right-footed shot,Isco
ronaldo,LaLiga,3,9/13/2014,H,Atlético Madrid  ,LW,25',Penalty,
ronaldo,Champions League,Group Stage,9/16/2014,H,FC Basel,LW,31',Right-footed shot,Gareth Bale
ronaldo,LaLiga,4,9/20/2014,A,Dep. La Coruña  ,RW,29',Header,Álvaro Arbeloa
ronaldo,,,,,,,41',Left-footed shot,Karim Benzema
ronaldo,,,,,,,78',Left-footed shot,James Rodríguez
ronaldo,LaLiga,5,9/23/2014,H,Elche CF  ,CF,28',Penalty,
ronaldo,,,,,,,32',Header,Marcelo
ronaldo,,,,,,,80',Penalty,
ronaldo,,,,,,,90',Right-footed shot,Gareth Bale
ronaldo,LaLiga,6,9/27/2014,A,Villarreal  ,CF,40',Right-footed shot,Karim Benzema
ronaldo,Champions League,Group Stage,10/1/2014,A,Ludogorets,CF,25',Penalty,
ronaldo,LaLiga,7,10/5/2014,H,Athletic  ,LW,3',Header,Gareth Bale
ronaldo,,,,,,,55',Right-footed shot,Gareth Bale
ronaldo,,,,,,,89',Deflected shot on goal,Pepe
ronaldo,LaLiga,8,10/18/2014,A,Levante  ,CF,13',Penalty,
ronaldo,,,,,,,61',Right-footed shot,Isco
ronaldo,Champions League,Group Stage,10/22/2014,A,Liverpool,CF,23',Right-footed shot,James Rodríguez
ronaldo,LaLiga,9,10/25/2014,H,FC Barcelona  ,CF,35',Penalty,
ronaldo,LaLiga,10,11/1/2014,A,Granada CF  ,CF,2',Right-footed shot,Karim Benzema
ronaldo,LaLiga,11,11/8/2014,H,Rayo Vallecano  ,CF,83',Right-footed shot,Isco
ronaldo,LaLiga,12,11/22/2014,A,SD Eibar  ,CF,43',Right-footed shot,Daniel Carvajal
ronaldo,,,,,,,83',Penalty,
ronaldo,Champions League,Group Stage,11/26/2014,A,FC Basel,LW,35',Left-footed shot,Karim Benzema
ronaldo,LaLiga,14,12/6/2014,H,Celta de Vigo  ,CF,36',Penalty,
ronaldo,,,,,,,65',Right-footed shot,
ronaldo,,,,,,,81',Left-footed shot,Marcelo
ronaldo,Champions League,Group Stage,12/9/2014,H,Ludogorets,CF ,20',Penalty,
ronaldo,LaLiga,15,12/12/2014,A,UD Almería  ,CF,81',Right-footed shot,Karim Benzema
ronaldo,,,,,,,89',Right-footed shot,Daniel Carvajal
ronaldo,LaLiga,17,1/4/2015,A,Valencia  ,LW,14',Penalty,
ronaldo,Copa del Rey,last 16,1/15/2015,H,Atlético Madrid,CF,54',Header,Gareth Bale
ronaldo,LaLiga,19,1/18/2015,A,Getafe  ,LW,63',Left-footed shot,Karim Benzema
ronaldo,,,,,,,79',Header,James Rodríguez
ronaldo,Champions League,last 16,2/18/2015,A,FC Schalke 04,LW,26',Header,Daniel Carvajal
ronaldo,LaLiga,24,2/22/2015,A,Elche CF  ,CF,69',Header,Isco
ronaldo,LaLiga,25,3/1/2015,H,Villarreal  ,CF,52',Penalty,
ronaldo,Champions League,last 16,3/10/2015,H,FC Schalke 04,CF,25',Header,Toni Kroos
ronaldo,,,,,,,45',Header,Fábio Coentrão
ronaldo,LaLiga,28,3/22/2015,A,FC Barcelona  ,LW,31',Right-footed shot,Karim Benzema
ronaldo,LaLiga,29,4/5/2015,H,Granada CF  ,CF,30',Right-footed shot,James Rodríguez
ronaldo,,,,,,,36',Right-footed shot,
ronaldo,,,,,,,38',Long distance kick,Gareth Bale
ronaldo,,,,,,,54',Header,Gareth Bale
ronaldo,,,,,,,90',Header,Luka Modric
ronaldo,LaLiga,30,4/8/2015,A,Rayo Vallecano  ,LW,68',Header,Daniel Carvajal
ronaldo,LaLiga,31,4/11/2015,H,SD Eibar  ,LW,21',Direct free kick,
ronaldo,LaLiga,32,4/18/2015,H,Málaga CF  ,CF,90'+2,Left-footed shot,Chicharito
ronaldo,LaLiga,35,5/2/2015,A,Sevilla FC  ,CF,36',Header,Isco
ronaldo,,,,,,,37',Right-footed shot,Chicharito
ronaldo,,,,,,,69',Header,Gareth Bale
ronaldo,Champions League,Semi-Finals,5/5/2015,A,Juventus,CF,27',Header,James Rodríguez
ronaldo,Champions League,Semi-Finals,5/13/2015,H,Juventus,LW,23',Penalty,
ronaldo,LaLiga,37,5/17/2015,A,Espanyol  ,LW,59',Left-footed shot,Karim Benzema
ronaldo,,,,,,,83',Right-footed shot,Chicharito
ronaldo,,,,,,,90'+1,Header,James Rodríguez
ronaldo,LaLiga,38,5/23/2015,H,Getafe  ,LW,13',Header,Marcelo
ronaldo,,,,,,,32',Direct free kick,
ronaldo,,,,,,,34',Penalty,
ronaldo,LaLiga,3,9/12/2015,A,Espanyol  ,LW,7',Right-footed shot,Luka Modric
ronaldo,,,,,,,17',Penalty,
ronaldo,,,,,,,20',Left-footed shot,Gareth Bale
ronaldo,,,,,,,62',Right-footed shot,Gareth Bale
ronaldo,,,,,,,81',Right-footed shot,Lucas Vázquez
ronaldo,Champions League,Group Stage,9/15/2015,H,Shakhtar D.,LW,56',Penalty,
ronaldo,,,,,,,64',Penalty,
ronaldo,,,,,,,82',Header,
ronaldo,Champions League,Group Stage,9/30/2015,A,Malmö FF,LW ,29',Right-footed shot,Isco
ronaldo,,,,,,,90',Left-footed shot,Lucas Vázquez
ronaldo,LaLiga,8,10/17/2015,H,Levante  ,CF,30',Right-footed shot,Toni Kroos
ronaldo,LaLiga,9,10/24/2015,A,Celta de Vigo  ,CF,8',Right-footed shot,Lucas Vázquez
ronaldo,LaLiga,10,10/31/2015,H,UD Las Palmas  ,CF,14',Header,Marcelo
ronaldo,Champions League,Group Stage,11/25/2015,A,Shakhtar D.,CF,18',Header,Gareth Bale
ronaldo,,,,,,,70',Right-footed shot,Gareth Bale
ronaldo,LaLiga,13,11/29/2015,A,SD Eibar  ,CF,82',Penalty,
ronaldo,LaLiga,14,12/5/2015,H,Getafe  ,LW,38',Right-footed shot,Toni Kroos
ronaldo,Champions League,Group Stage,12/8/2015,H,Malmö FF,LW,39',Direct free kick,
ronaldo,,,,,,,47',Tap-in,
ronaldo,,,,,,,50',Right-footed shot,Danilo
ronaldo,,,,,,,59',Right-footed shot,Isco
ronaldo,LaLiga,16,12/20/2015,H,Rayo Vallecano  ,LW,30',Penalty,
ronaldo,,,,,,,54',Header,James Rodríguez
ronaldo,LaLiga,17,12/30/2015,H,Real Sociedad  ,LW,42',Penalty,
ronaldo,,,,,,,68',Left-footed shot,Marcelo
ronaldo,LaLiga,20,1/17/2016,H,Sporting Gijón  ,LW,9',Left-footed shot,Karim Benzema
ronaldo,,,,,,,18',Left-footed shot,Daniel Carvajal
ronaldo,LaLiga,22,1/31/2016,H,Espanyol  ,LW,12',Penalty,
ronaldo,,,,,,,45',Left-footed shot,
ronaldo,,,,,,,82',Header,Jesé
ronaldo,LaLiga,24,2/13/2016,H,Athletic  ,LW,3',Right-footed shot,Karim Benzema
ronaldo,,,,,,,87',Right-footed shot,Lucas Vázquez
ronaldo,Champions League,last 16,2/17/2016,A,AS Roma,LW,57',Right-footed shot,Marcelo
ronaldo,LaLiga,25,2/21/2016,A,Málaga CF  ,LW,33',Header,Toni Kroos
ronaldo,LaLiga,27,3/2/2016,A,Levante  ,LW,34',Penalty,
ronaldo,LaLiga,28,3/5/2016,H,Celta de Vigo  ,LW,50',Long distance kick,Sergio Ramos
ronaldo,,,,,,,58',Direct free kick,
ronaldo,,,,,,,64',Right-footed shot,Isco
ronaldo,,,,,,,76',Header,Jesé
ronaldo,Champions League,last 16,3/8/2016,H,AS Roma,CF,64',Right-footed shot,Lucas Vázquez
ronaldo,LaLiga,30,3/20/2016,H,Sevilla FC  ,LW,64',Left-footed shot,Danilo
ronaldo,LaLiga,31,4/2/2016,A,FC Barcelona  ,LW,85',Right-footed shot,Gareth Bale
ronaldo,LaLiga,32,4/9/2016,H,SD Eibar  ,CF,19',Right-footed shot,Jesé
ronaldo,Champions League,Quarter-Finals,4/12/2016,H,VfL Wolfsburg,LW,16',Right-footed shot,Daniel Carvajal
ronaldo,,,,,,,17',Header,Toni Kroos
ronaldo,,,,,,,77',Direct free kick,
ronaldo,LaLiga,33,4/16/2016,A,Getafe  ,LW,90'+2,Right-footed shot,Jesé
ronaldo,LaLiga,37,5/8/2016,H,Valencia  ,LW,26',Right-footed shot,Marcelo
ronaldo,,,,,,,59',Left-footed shot,James Rodríguez
ronaldo,LaLiga,38,5/14/2016,A,Dep. La Coruña  ,LW,8',Left-footed shot,Karim Benzema
ronaldo,,,,,,,25',Header,Toni Kroos
ronaldo,LaLiga,3,9/10/2016,H,CA Osasuna  ,LW,6',Right-footed shot,Gareth Bale
ronaldo,Champions League,Group Stage,9/14/2016,H,Sporting CP,LW,89',Direct free kick,
ronaldo,Champions League,Group Stage,9/27/2016,A,Bor. Dortmund,LW,17',Right-footed shot,Gareth Bale
ronaldo,LaLiga,8,10/15/2016,A,Real Betis  ,LW,78',Right-footed shot,Álvaro Morata
ronaldo,LaLiga,10,10/29/2016,A,Alavés  ,LW,17',Penalty,
ronaldo,,,,,,,33',Right-footed shot,Karim Benzema
ronaldo,,,,,,,88',Right-footed shot,Marcelo
ronaldo,LaLiga,12,11/19/2016,A,Atlético Madrid  ,CF,23',Direct free kick,
ronaldo,,,,,,,71',Penalty,
ronaldo,,,,,,,77',Right-footed shot,Gareth Bale
ronaldo,LaLiga,13,11/26/2016,H,Sporting Gijón  ,LW,5',Penalty,
ronaldo,,,,,,,18',Header,Nacho Fernández
ronaldo,Club World Cup,Semi-Finals,12/15/2016,A,América,LW,90'+3,Right-footed shot,James Rodríguez
ronaldo,Club World Cup,Final,12/18/2016,H,Kashima Antlers,LW,60',Penalty,
ronaldo,,,,,,,97',Left-footed shot,Karim Benzema
ronaldo,,,,,,,104',Left-footed shot,Toni Kroos
ronaldo,LaLiga,17,1/7/2017,H,Granada CF  ,LW,27',Header,Marcelo
ronaldo,LaLiga,18,1/15/2017,A,Sevilla FC  ,CF,67',Penalty,
ronaldo,Copa del Rey,Quarter-Finals,1/25/2017,A,Celta de Vigo,CF,62',Direct free kick,
ronaldo,LaLiga,20,1/29/2017,H,Real Sociedad  ,LW,51',Right-footed shot,Mateo Kovacic
ronaldo,LaLiga,22,2/11/2017,A,CA Osasuna  ,CF,24',Right-footed shot,Karim Benzema
ronaldo,LaLiga,16,2/22/2017,A,Valencia  ,LW,44',Header,Marcelo
ronaldo,LaLiga,24,2/26/2017,A,Villarreal  ,LW,74',Penalty,
ronaldo,LaLiga,25,3/1/2017,H,UD Las Palmas  ,LW,86',Penalty,
ronaldo,,,,,,,89',Header,James Rodríguez
ronaldo,LaLiga,27,3/12/2017,H,Real Betis  ,LW,41',Header,Marcelo
ronaldo,Champions League,Quarter-Finals,4/12/2017,A,Bayern Munich ,LW,47',Right-footed shot,Daniel Carvajal
ronaldo,,,,,,,77',Right-footed shot,Marco Asensio
ronaldo,Champions League,Quarter-Finals,4/18/2017,H,Bayern Munich ,CF,76',Header,Casemiro
ronaldo,,,,,,,105',Left-footed shot,Sergio Ramos
ronaldo,,,,,,,109',Right-footed shot,Marcelo
ronaldo,LaLiga,35,4/29/2017,H,Valencia  ,LW,27',Header,Daniel Carvajal
ronaldo,Champions League,Semi-Finals,5/2/2017,H,Atlético Madrid,CF,10',Header,Casemiro
ronaldo,,,,,,,73',Right-footed shot,Karim Benzema
ronaldo,,,,,,,86',Right-footed shot,Lucas Vázquez
ronaldo,LaLiga,37,5/14/2017,H,Sevilla FC  ,LW,23',Right-footed shot,
ronaldo,,,,,,,78',Left-footed shot,Toni Kroos
ronaldo,LaLiga,21,5/17/2017,A,Celta de Vigo  ,CF,10',Left-footed shot,
ronaldo,,,,,,,48',Left-footed shot,Isco
ronaldo,LaLiga,38,5/21/2017,A,Málaga CF  ,CF,2',Right-footed shot,Isco
ronaldo,Champions League,Final,6/3/2017,A,Juventus,CF,20',Right-footed shot,Daniel Carvajal
ronaldo,,,,,,,64',Right-footed shot,Luka Modric
ronaldo,Supercopa,final,8/13/2017,A,FC Barcelona,CF,80',Right-footed shot,Isco
ronaldo,Champions League,Group Stage,9/13/2017,H,APOEL Nicosia,CF,12',Counter attack goal,Gareth Bale
ronaldo,,,,,,,51',Penalty,
ronaldo,Champions League,Group Stage,9/26/2017,A,Bor. Dortmund,CF,49',Left-footed shot,Gareth Bale
ronaldo,,,,,,,79',Right-footed shot,Luka Modric
ronaldo,LaLiga,8,10/14/2017,A,Getafe  ,CF,85',Right-footed shot,Isco
ronaldo,Champions League,Group Stage,10/17/2017,H,Spurs,LW,43',Penalty,
ronaldo,Champions League,Group Stage,11/1/2017,A,Spurs,LW,80',Right-footed shot,Borja Mayoral
ronaldo,Champions League,Group Stage,11/21/2017,A,APOEL Nicosia,LW,49',Header,Marcelo
ronaldo,,,,,,,54',Left-footed shot,
ronaldo,LaLiga,13,11/25/2017,H,Málaga CF  ,CF,76',Penalty rebound,
ronaldo,Champions League,Group Stage,12/6/2017,H,Bor. Dortmund,LW,12',Right-footed shot,Mateo Kovacic
ronaldo,LaLiga,15,12/9/2017,H,Sevilla FC  ,CF,23',Right-footed shot,Marco Asensio
ronaldo,,,,,,,31',Penalty,
ronaldo,Club World Cup,Semi-Finals,12/13/2017,A,Al-Jazira,LW,53',Right-footed shot,Luka Modric
ronaldo,Club World Cup,Final,12/16/2017,H,Grêmio,LW,53',Direct free kick,
ronaldo,LaLiga,20,1/21/2018,H,Dep. La Coruña  ,LW,78',Left-footed shot,Casemiro
ronaldo,,,,,,,84',Header,Lucas Vázquez
ronaldo,LaLiga,21,1/27/2018,A,Valencia  ,LW,16',Penalty,
ronaldo,,,,,,,38',Penalty,
ronaldo,LaLiga,23,2/10/2018,H,Real Sociedad  ,CF,27',Right-footed shot,Marcelo
ronaldo,,,,,,,37',Header,Luka Modric
ronaldo,,,,,,,80',Tap-in,
ronaldo,Champions League,last 16,2/14/2018,H,Paris SG,LW,45',Penalty,
ronaldo,,,,,,,83',Tap-in,
ronaldo,LaLiga,24,2/18/2018,A,Real Betis  ,CF,65',Right-footed shot,Casemiro
ronaldo,LaLiga,25,2/24/2018,H,Alavés  ,CF ,44',Left-footed shot,Karim Benzema
ronaldo,,,,,,,61',Right-footed shot,Lucas Vázquez
ronaldo,LaLiga,27,3/3/2018,H,Getafe  ,CF,45'+1,Left-footed shot,Karim Benzema
ronaldo,,,,,,,78',Header,Marcelo
ronaldo,Champions League,last 16,3/6/2018,A,Paris SG,CF,51',Header,Lucas Vázquez
ronaldo,LaLiga,28,3/10/2018,A,SD Eibar  ,CF,33',Right-footed shot,Luka Modric
ronaldo,,,,,,,84',Header,Daniel Carvajal
ronaldo,LaLiga,29,3/18/2018,H,Girona  ,CF,11',Left-footed shot,Toni Kroos
ronaldo,,,,,,,47',Left-footed shot,Karim Benzema
ronaldo,,,,,,,64',Tap-in,
ronaldo,,,,,,,90'+1,Right-footed shot,Toni Kroos
ronaldo,Champions League,Quarter-Finals,4/3/2018,A,Juventus,CF,3',Right-footed shot,Isco
ronaldo,,,,,,,64',Right-footed shot,Daniel Carvajal
ronaldo,LaLiga,31,4/8/2018,H,Atlético Madrid  ,CF,53',Right-footed shot,Gareth Bale
ronaldo,Champions League,Quarter-Finals,4/11/2018,H,Juventus,CF,90'+7,Penalty,
ronaldo,LaLiga,33,4/18/2018,H,Athletic  ,CF,87',Right-footed shot,Luka Modric
ronaldo,LaLiga,36,5/6/2018,A,FC Barcelona  ,LW,14',Right-footed shot,Karim Benzema
ronaldo,LaLiga,38,5/19/2018,A,Villarreal  ,CF,32',Header,Marcelo
ronaldo,Serie A,4,9/16/2018,H,Sassuolo  ,CF,50',Tap-in,
ronaldo,,,,,,,65',Left-footed shot,Emre Can
ronaldo,Serie A,5,9/23/2018,A,Frosinone  ,LW,81',Left-footed shot,
ronaldo,Serie A,8,10/6/2018,A,Udinese Calcio  ,LW,37',Left-footed shot,Mario Mandzukic
ronaldo,Serie A,9,10/20/2018,H,Genoa  ,LW,18',Tap-in,
ronaldo,Serie A,10,10/27/2018,A,FC Empoli  ,CF,54',Penalty,
ronaldo,,,,,,,70',Right-footed shot,Blaise Matuidi
ronaldo,Champions League,Group Stage,11/7/2018,H,Man Utd,CF,65',Right-footed shot,Leonardo Bonucci
ronaldo,Serie A,12,11/11/2018,A,AC Milan  ,LW,81',Tap-in,
ronaldo,Serie A,13,11/24/2018,H,SPAL  ,CF,29',Left-footed shot,Miralem Pjanic
ronaldo,Serie A,14,12/1/2018,A,Fiorentina  ,LW,79',Penalty,
ronaldo,Serie A,16,12/15/2018,A,Torino  ,LW,70',Penalty,
ronaldo,Serie A,18,12/26/2018,A,Atalanta  ,CF,78',Header,Giorgio Chiellini
ronaldo,Serie A,19,12/29/2018,H,Sampdoria  ,LW,2',Right-footed shot,Paulo Dybala
ronaldo,,,,,,,65',Penalty,
ronaldo,Supercoppa Italiana,Final,1/16/2019,H,AC Milan,LW,61',Header,Miralem Pjanic
ronaldo,Serie A,21,1/27/2019,A,Lazio  ,LW,88',Penalty,
ronaldo,Serie A,22,2/2/2019,H,Parma  ,LW,36',Right-footed shot,Blaise Matuidi
ronaldo,,,,,,,66',Header,Mario Mandzukic
ronaldo,Serie A,23,2/10/2019,A,Sassuolo  ,LW,70',Header,Miralem Pjanic
ronaldo,Serie A,24,2/15/2019,H,Frosinone  ,LW,63',Right-footed shot,Mario Mandzukic
ronaldo,Champions League,last 16,3/12/2019,H,Atlético Madrid,CF,27',Header,Federico Bernardeschi
ronaldo,,,,,,,49',Header,João Cancelo
ronaldo,,,,,,,86',Penalty,
ronaldo,Champions League,Quarter-Finals,4/10/2019,A,Ajax,LW,45',Header,João Cancelo
ronaldo,Champions League,Quarter-Finals,4/16/2019,H,Ajax,LW,28',Header,Miralem Pjanic
ronaldo,Serie A,34,4/27/2019,A,Inter  ,CF,62',Left-footed shot,Miralem Pjanic
ronaldo,Serie A,35,5/3/2019,H,Torino  ,CF,84',Header,Leonardo Spinazzola
ronaldo,Serie A,2,8/31/2019,H,SSC Napoli  ,LW,62',Left-footed shot,Douglas Costa
ronaldo,Serie A,4,9/21/2019,H,Hellas Verona  ,LW,49',Penalty,
ronaldo,Serie A,6,9/28/2019,H,SPAL  ,CF,78',Header,Paulo Dybala
ronaldo,Champions League,Group Stage,10/1/2019,H,Bay. Leverkusen,CF,89',Right-footed shot,Paulo Dybala
ronaldo,Serie A,8,10/19/2019,H,Bologna  ,CF,19',Right-footed shot,
ronaldo,Serie A,10,10/30/2019,H,Genoa  ,CF,90'+6,Penalty,
ronaldo,Serie A,14,12/1/2019,H,Sassuolo  ,CF,68',Penalty,
ronaldo,Serie A,15,12/7/2019,A,Lazio  ,CF,25',Tap-in,Rodrigo Bentancur
ronaldo,Champions League,Group Stage,12/11/2019,A,Bay. Leverkusen,CF,75',Right-footed shot,Paulo Dybala
ronaldo,Serie A,16,12/15/2019,H,Udinese Calcio  ,CF,9',Right-footed shot,
ronaldo,,,,,,,37',Left-footed shot,Gonzalo Higuaín
ronaldo,Serie A,17,12/18/2019,A,Sampdoria  ,LW,45',Header,Alex Sandro
ronaldo,Serie A,18,1/6/2020,H,Cagliari Calcio  ,CF,49',Right-footed shot,
ronaldo,,,,,,,67',Penalty,
ronaldo,,,,,,,82',Left-footed shot,Douglas Costa
ronaldo,Serie A,19,1/12/2020,A,AS Roma  ,CF,10',Penalty,
ronaldo,Serie A,20,1/19/2020,H,Parma  ,CF,43',Deflected shot on goal,Blaise Matuidi
ronaldo,,,,,,,58',Right-footed shot,Paulo Dybala
ronaldo,Coppa Italia,Quarter-Finals,1/22/2020,H,AS Roma,LW,26',Left-footed shot,Gonzalo Higuaín
ronaldo,Serie A,21,1/26/2020,A,SSC Napoli  ,LW,90',Right-footed shot,Rodrigo Bentancur
ronaldo,Serie A,22,2/2/2020,H,Fiorentina  ,LW,40',Penalty,
ronaldo,,,,,,,80',Penalty,
ronaldo,Serie A,23,2/8/2020,A,Hellas Verona  ,LW,65',Right-footed shot,Rodrigo Bentancur
ronaldo,Coppa Italia,Semi-Finals,2/13/2020,A,AC Milan,LW,90'+1,Penalty,
ronaldo,Serie A,25,2/22/2020,A,SPAL  ,LW,39',Tap-in,Juan Cuadrado
ronaldo,Serie A,27,6/22/2020,A,Bologna  ,LW,23',Penalty,
ronaldo,Serie A,28,6/26/2020,H,Lecce  ,LW,62',Penalty,
ronaldo,Serie A,29,6/30/2020,A,Genoa  ,LW,56',Long distance kick,Miralem Pjanic
ronaldo,Serie A,30,7/4/2020,H,Torino  ,LW,61',Direct free kick,
ronaldo,Serie A,31,7/7/2020,A,AC Milan  ,LW,53',Left-footed shot,Juan Cuadrado
ronaldo,Serie A,32,7/11/2020,H,Atalanta  ,LW,55',Penalty,
ronaldo,,,,,,,90',Penalty,
ronaldo,Serie A,34,7/20/2020,H,Lazio  ,LW,51',Penalty,
ronaldo,,,,,,,54',Counter attack goal,Paulo Dybala
ronaldo,Serie A,36,7/26/2020,H,Sampdoria  ,LW,45'+7,Right-footed shot,Miralem Pjanic
ronaldo,Champions League,last 16,8/7/2020,H,Olympique Lyon,LW,43',Penalty,
ronaldo,,,,,,,60',Left-footed shot,Federico Bernardeschi
ronaldo,Serie A,1,9/20/2020,H,Sampdoria  ,CF,88',Right-footed shot,Aaron Ramsey
ronaldo,Serie A,2,9/27/2020,A,AS Roma  ,CF,44',Penalty,
ronaldo,,,,,,,69',Header,Danilo
ronaldo,Serie A,6,11/1/2020,A,Spezia Calcio  ,CF,59',Right-footed shot,Álvaro Morata
ronaldo,,,,,,,76',Penalty,
ronaldo,Serie A,7,11/8/2020,A,Lazio  ,LW,15',Right-footed shot,Juan Cuadrado
ronaldo,Serie A,8,11/21/2020,H,Cagliari Calcio  ,CF,38',Right-footed shot,Álvaro Morata
ronaldo,,,,,,,42',Right-footed shot,Merih Demiral
ronaldo,Champions League,Group Stage,11/24/2020,H,Ferencváros,CF,35',Left-footed shot,Juan Cuadrado
ronaldo,Champions League,Group Stage,12/2/2020,H,Dynamo Kyiv,CF,57',Right-footed shot,Álvaro Morata
ronaldo,Champions League,Group Stage,12/8/2020,A,FC Barcelona,CF,13',Penalty,
ronaldo,,,,,,,52',Penalty,
ronaldo,Serie A,11,12/13/2020,A,Genoa  ,CF,78',Penalty,
ronaldo,,,,,,,89',Penalty,
ronaldo,Serie A,13,12/19/2020,A,Parma  ,CF,26',Header,Álvaro Morata
ronaldo,,,,,,,48',Left-footed shot,Aaron Ramsey
ronaldo,Serie A,15,1/3/2021,H,Udinese Calcio  ,CF,31',Right-footed shot,Aaron Ramsey
ronaldo,,,,,,,70',Left-footed shot,Rodrigo Bentancur
messi,LaLiga,34,5/1/2005,H,Albacete  ,CF,90'+1,Left-footed shot,Ronaldinho
messi,Champions League,Group Stage,11/2/2005,H,Panathinaikos,RW,34',Left-footed shot,
messi,LaLiga,13,11/27/2005,H,Racing  ,RW,51',Left-footed shot,Samuel Eto'o
messi,LaLiga,19,1/15/2006,H,Athletic  ,RW,50',Left-footed shot,Mark van Bommel
messi,LaLiga,20,1/22/2006,H,Alavés  ,CF,82',Left-footed shot,Ronaldinho
messi,LaLiga,21,1/29/2006,A,RCD Mallorca  ,CF,75',Right-footed shot,Sylvinho
messi,,,,,,,83',Left-footed shot,Ronaldinho
messi,Copa del Rey,Quarter-Finals,2/1/2006,H,Real Zaragoza,CF,42',Header,Ludovic Giuly
messi,LaLiga,24,2/18/2006,H,Real Betis  ,RW,84',Left-footed shot,
messi,LaLiga,1,8/28/2006,A,Celta de Vigo  ,LW,59',Left-footed shot,Andrés Iniesta
messi,LaLiga,2,9/9/2006,H,CA Osasuna  ,RW,36',Left-footed shot,Samuel Eto'o
messi,Champions League,Group Stage,9/27/2006,A,Werder Bremen,RW,89',Left-footed shot,Deco
messi,LaLiga,6,10/15/2006,H,Sevilla FC  ,RW,80',Right-footed shot,Xavi
messi,LaLiga,26,3/10/2007,H,Real Madrid  ,RW,11',Left-footed shot,Samuel Eto'o
messi,,,,,,,28',Left-footed shot,
messi,,,,,,,90'+1,Left-footed shot,Ronaldinho
